Tick,Year,Consumer_Price,Demand,Total_Supply
0,2024,,,97395.60942025053
1,2025,1540.71,70100.0,96302.64109231246
2,2026,1540.71,76000.0,97428.18749598846
3,2027,1540.71,83200.0,97932.89342196714
4,2028,1540.71,91100.0,97602.86341115355
5,2029,1540.71,99800.0,194771.70194811973
6,2030,1540.71,108800.0,192226.8608007117
7,2031,1540.71,118000.0,191070.97004018072
8,2032,1495.71,127500.0,287938.1540206538
9,2033,1495.71,137100.0,289013.1209280996
10,2034,1495.71,147400.0,289525.38983251347
11,2035,1495.71,158700.0,288041.3834739352
12,2036,1495.71,172900.0,289729.38556128804
13,2037,1495.71,188800.0,290554.66141226667
14,2038,1495.71,206200.0,387919.16302558803
15,2039,1495.71,225100.0,383646.32458269416
16,2040,1495.71,245600.0,386543.1291421848
17,2041,1495.71,267500.0,386548.1806756664
18,2042,1495.71,290300.0,484216.8594337362
19,2043,1495.71,314800.0,575505.6788405484
20,2044,1495.71,341200.0,578375.6863546022
21,2045,1495.71,369400.0,579674.6891688008
22,2046,1495.71,399500.0,578851.8883324665
23,2047,1495.71,431200.0,579188.0033154577
24,2048,1495.71,465000.0,581599.879167317
25,2049,1540.71,500700.0,581030.5900788857
26,2050,1495.71,538300.0,675946.0494842423
27,2051,1540.71,577900.0,672874.1579996843
28,2052,1495.71,616200.0,772056.1759144401
29,2053,1495.71,656000.0,873845.0880284765
30,2054,1495.71,697400.0,961612.2946761176
31,2055,1495.71,740000.0,964805.1981201211
32,2056,1495.71,784000.0,966801.7962382133
33,2057,1495.71,827600.0,1058613.745050057
34,2058,1495.71,870800.0,1159944.0123452134
35,2059,1495.71,913900.0,1156479.2819229264
36,2060,1495.71,957200.0,1158604.4592205198
37,2061,1495.71,999900.0,1160617.781460154
38,2062,1495.71,1041700.0,1253611.795042872
39,2063,1495.71,1083100.0,1256885.3384668855
40,2064,1495.71,1124000.0,1250186.7308479033
41,2065,1495.71,1164400.0,1347805.8988496463
42,2066,1495.71,1204200.0,1348614.2944849457
43,2067,1495.71,1242400.0,1445647.12359812
44,2068,1495.71,1280200.0,1448249.9158085336
45,2069,1495.71,1317700.0,1541643.0875626635
46,2070,1495.71,1355200.0,1544915.8881632579
47,2071,1495.71,1388700.0,1545681.18233443
48,2072,1495.71,1421500.0,1640641.3382554904
49,2073,1495.71,1454300.0,1637241.8840494147
50,2074,1495.71,1486800.0,1639139.4031516002
51,2075,1495.71,1519000.0,1636932.8591031537
52,2076,1540.71,1550900.0,1643962.4022637545
53,2077,1495.71,1581800.0,1730942.1973811476
54,2078,1495.71,1612500.0,1740303.1026738936
55,2079,1495.71,1643400.0,1832494.1922401388
56,2080,1495.71,1674700.0,1831059.449792944
57,2081,1495.71,1706200.0,1830665.2377173696
58,2082,1495.71,1736500.0,1921638.1523331157
59,2083,1495.71,1767000.0,1926761.330804487
60,2084,1495.71,1797800.0,1934161.7852890962
61,2085,1495.71,1828700.0,2024044.5805683632
62,2086,1495.71,1860200.0,2028674.2392498897
63,2087,1495.71,1891600.0,2030912.4708850821
64,2088,1495.71,1923000.0,2120973.917254252
65,2089,1495.71,1954400.0,2121449.2809278676
66,2090,1495.71,1985600.0,2123223.907156475
67,2091,1495.71,2016800.0,2118226.1365265665
68,2092,1495.71,2047100.0,2215537.4511933606
69,2093,1495.71,2077200.0,2225768.9975334597
70,2094,1495.71,2107700.0,2221898.477162754
71,2095,1540.71,2137300.0,2215178.8540871944
72,2096,1540.71,2157500.0,2220001.129841142
73,2097,1540.71,2177300.0,2213710.8982788934
74,2098,1540.71,2196400.0,2218588.0360418567
75,2099,1540.71,2214800.0,2220385.996765409
76,2100,2000.0,2232700.0,2214652.3148474325
77,2101,2000.0,2249900.0,2215930.6686547664
78,2102,2000.0,2249900.0,2226262.6315914053
79,2103,2000.0,2249900.0,2221849.09677618
80,2104,2000.0,2249900.0,2225335.354530778
81,2105,2000.0,2249900.0,2219241.030948327
82,2106,2000.0,2249900.0,2216957.524451396
83,2107,2000.0,2249900.0,2211535.772193626
84,2108,2000.0,2249900.0,2217907.7660537595
85,2109,2000.0,2249900.0,2217706.3384122597
86,2110,2000.0,2249900.0,2214205.6881175907
87,2111,2000.0,2249900.0,2219206.524937109
88,2112,2000.0,2249900.0,2219919.4658346884
89,2113,2000.0,2249900.0,2218077.616147982
90,2114,2000.0,2249900.0,2225454.1740741893
91,2115,2000.0,2249900.0,2224202.554405092
92,2116,2000.0,2249900.0,2222472.9282802353
93,2117,2000.0,2249900.0,2227359.14443997
94,2118,2000.0,2249900.0,2214598.436177674
95,2119,2000.0,2249900.0,2223377.5408834107
96,2120,2000.0,2249900.0,2220131.633742714
97,2121,2000.0,2249900.0,2219097.0176446964
98,2122,2000.0,2249900.0,2215545.7769134757
99,2123,2000.0,2249900.0,2219576.7337563634
100,2124,2000.0,2249900.0,2220975.8203656916
