Tick,Year,Consumer_Price,Market_Price,Demand,Total_Supply,Num_Investors,Num_Production_Sites
0,2024,,,,97395.60942025053,1,1
1,2025,1540.71,1540.71,70100.0,96302.64109231246,2,2
2,2026,1540.71,1540.71,76000.0,97428.18749598846,2,2
3,2027,1540.71,1540.71,83200.0,97932.89342196714,2,2
4,2028,1540.71,1540.71,91100.0,97602.86341115355,3,3
5,2029,1540.71,1540.71,99800.0,194771.70194811973,3,3
6,2030,1540.71,1540.71,108800.0,192226.8608007117,3,3
7,2031,1540.71,1540.71,118000.0,191070.97004018072,3,3
8,2032,1495.71,1495.71,127500.0,287938.1540206538,3,3
9,2033,1495.71,1495.71,137100.0,289013.1209280996,3,3
10,2034,1495.71,1495.71,147400.0,289525.38983251347,4,4
11,2035,1495.71,1495.71,158700.0,288041.3834739352,4,4
12,2036,1495.71,1495.71,172900.0,289729.38556128804,4,4
13,2037,1495.71,1495.71,188800.0,290554.66141226667,4,4
14,2038,1495.71,1495.71,206200.0,387919.16302558803,5,5
15,2039,1495.71,1495.71,225100.0,383646.32458269416,6,6
16,2040,1495.71,1495.71,245600.0,386543.1291421848,6,6
17,2041,1495.71,1495.71,267500.0,386548.1806756664,6,6
18,2042,1495.71,1495.71,290300.0,484216.8594337362,6,6
19,2043,1495.71,1495.71,314800.0,575505.6788405484,6,6
20,2044,1495.71,1495.71,341200.0,578375.6863546022,6,6
21,2045,1495.71,1495.71,369400.0,579674.6891688008,6,6
22,2046,1495.71,1495.71,399500.0,578851.8883324665,7,7
23,2047,1495.71,1495.71,431200.0,579188.0033154577,7,7
24,2048,1495.71,1495.71,465000.0,581599.879167317,8,8
25,2049,1540.71,1540.71,500700.0,581030.5900788857,9,9
26,2050,1495.71,1495.71,538300.0,675946.0494842423,10,10
27,2051,1540.71,1540.71,577900.0,672874.1579996843,10,10
28,2052,1495.71,1495.71,616200.0,772056.1759144401,10,10
29,2053,1495.71,1495.71,656000.0,873845.0880284765,11,11
30,2054,1495.71,1495.71,697400.0,961612.2946761176,12,12
31,2055,1495.71,1495.71,740000.0,964805.1981201211,12,12
32,2056,1495.71,1495.71,784000.0,966801.7962382133,12,12
33,2057,1495.71,1495.71,827600.0,1058613.745050057,12,12
34,2058,1495.71,1495.71,870800.0,1159944.0123452134,13,13
35,2059,1495.71,1495.71,913900.0,1156479.2819229264,13,13
36,2060,1495.71,1495.71,957200.0,1158604.4592205198,13,13
37,2061,1495.71,1495.71,999900.0,1160617.781460154,14,14
38,2062,1495.71,1495.71,1041700.0,1253611.795042872,14,14
39,2063,1495.71,1495.71,1083100.0,1256885.3384668855,15,15
40,2064,1495.71,1495.71,1124000.0,1250186.7308479033,15,15
41,2065,1495.71,1495.71,1164400.0,1347805.8988496463,16,16
42,2066,1495.71,1495.71,1204200.0,1348614.2944849457,16,16
43,2067,1495.71,1495.71,1242400.0,1445647.12359812,16,16
44,2068,1495.71,1495.71,1280200.0,1448249.9158085336,17,17
45,2069,1495.71,1495.71,1317700.0,1541643.0875626635,17,17
46,2070,1495.71,1495.71,1355200.0,1544915.8881632579,17,17
47,2071,1495.71,1495.71,1388700.0,1545681.18233443,17,17
48,2072,1495.71,1495.71,1421500.0,1640641.3382554904,17,17
49,2073,1495.71,1495.71,1454300.0,1637241.8840494147,18,18
50,2074,1495.71,1495.71,1486800.0,1639139.4031516002,18,18
51,2075,1495.71,1495.71,1519000.0,1636932.8591031537,19,19
52,2076,1540.71,1540.71,1550900.0,1643962.4022637545,19,19
53,2077,1495.71,1495.71,1581800.0,1730942.1973811476,19,19
54,2078,1495.71,1495.71,1612500.0,1740303.1026738936,20,20
55,2079,1495.71,1495.71,1643400.0,1832494.1922401388,20,20
56,2080,1495.71,1495.71,1674700.0,1831059.449792944,20,20
57,2081,1495.71,1495.71,1706200.0,1830665.2377173696,21,21
58,2082,1495.71,1495.71,1736500.0,1921638.1523331157,21,21
59,2083,1495.71,1495.71,1767000.0,1926761.330804487,21,21
60,2084,1495.71,1495.71,1797800.0,1934161.7852890962,22,22
61,2085,1495.71,1495.71,1828700.0,2024044.5805683632,22,22
62,2086,1495.71,1495.71,1860200.0,2028674.2392498897,22,22
63,2087,1495.71,1495.71,1891600.0,2030912.4708850821,22,22
64,2088,1495.71,1495.71,1923000.0,2120973.917254252,23,23
65,2089,1495.71,1495.71,1954400.0,2121449.2809278676,23,23
66,2090,1495.71,1495.71,1985600.0,2123223.907156475,23,23
67,2091,1495.71,1495.71,2016800.0,2118226.1365265665,23,23
68,2092,1495.71,1495.71,2047100.0,2215537.4511933606,23,23
69,2093,1495.71,1495.71,2077200.0,2225768.9975334597,23,23
70,2094,1495.71,1495.71,2107700.0,2221898.477162754,23,23
