Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Annual_Load_Factor,Feedstock_Price,Available_Feedstock,Current_Supply,Max_Supply,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity
1,agg_GUJARAT,1,2025,FeedstockAggregator,agg_GUJARAT,GUJARAT,1.0,405.0,1539600.084042395,1539600.084042395,1583333.333,0,526.5,0.0
2,agg_PUNJAB,2,2026,FeedstockAggregator,agg_PUNJAB,PUNJAB,1.0,360.0,3875407.329719447,3875407.329719447,4787000.0,0,468.0,0.0
2,agg_HARYANA,2,2026,FeedstockAggregator,agg_HARYANA,HARYANA,1.0,360.0,3603534.786866845,3703534.786866845,4000000.0,0,450.0,66576.69053434116
2,agg_UTTAR_PRADESH,2,2026,FeedstockAggregator,agg_UTTAR_PRADESH,UTTAR_PRADESH,1.0,390.0,14575195.16983969,14575195.16983969,16500000.0,0,507.0,0.0
2,agg_BIHAR,2,2026,FeedstockAggregator,agg_BIHAR,BIHAR,1.0,390.0,3333333.333,3333333.333,3333333.333,0,507.0,0.0
2,agg_ANDHRA_PRADESH,2,2026,FeedstockAggregator,agg_ANDHRA_PRADESH,ANDHRA_PRADESH,1.0,405.0,2890227.766873578,2890227.766873578,3000000.0,0,526.5,67664.92874575802
2,agg_TAMIL_NADU,2,2026,FeedstockAggregator,agg_TAMIL_NADU,TAMIL_NADU,1.0,435.0,1197117.6460962852,1197117.6460962852,1333333.333,0,565.5,0.0
2,agg_MAHARASHTRA,2,2026,FeedstockAggregator,agg_MAHARASHTRA,MAHARASHTRA,1.0,435.0,8469267.566332182,8469267.566332182,10333333.333,0,565.5,0.0
2,agg_KARNATAKA,2,2026,FeedstockAggregator,agg_KARNATAKA,KARNATAKA,1.0,405.0,5666666.667,5666666.667,5666666.667,0,526.5,0.0
2,agg_WEST_BENGAL,2,2026,FeedstockAggregator,agg_WEST_BENGAL,WEST_BENGAL,1.0,405.0,5249698.130829397,5249698.130829397,5497000.0,0,526.5,0.0
2,agg_CHHATTISGARH,2,2026,FeedstockAggregator,agg_CHHATTISGARH,CHHATTISGARH,1.0,360.0,2666666.667,2666666.667,2666666.667,0,468.0,0.0
2,agg_ODISHA,2,2026,FeedstockAggregator,agg_ODISHA,ODISHA,1.0,360.0,3204666.667,3204666.667,3204666.667,0,468.0,0.0
2,agg_MADHYA_PRADESH,2,2026,FeedstockAggregator,agg_MADHYA_PRADESH,MADHYA_PRADESH,1.0,390.0,2882227.6104412843,2882227.6104412843,3333333.333,0,507.0,0.0
2,agg_TELANGANA,2,2026,FeedstockAggregator,agg_TELANGANA,TELANGANA,1.0,390.0,5698000.0,5698000.0,5698000.0,0,507.0,0.0
2,agg_ASSAM,2,2026,FeedstockAggregator,agg_ASSAM,ASSAM,1.0,480.0,1708401.7887452464,1708401.7887452464,2000000.0,0,624.0,0.0
2,agg_JHARKHAND,2,2026,FeedstockAggregator,agg_JHARKHAND,JHARKHAND,1.0,435.0,1386707.5837045566,1386707.5837045566,1666666.667,0,565.5,0.0
2,agg_RAJASTHAN,2,2026,FeedstockAggregator,agg_RAJASTHAN,RAJASTHAN,1.0,435.0,2293367.165588921,2293367.165588921,2333333.333,0,565.5,0.0
2,agg_KERALA,2,2026,FeedstockAggregator,agg_KERALA,KERALA,1.0,480.0,1000000.0,1000000.0,1000000.0,0,624.0,0.0
