index,Tick,Year,Consumer_Price,Market_Price,Demand,Total_Supply,Num_Investors,Num_Production_Sites
80,80,2104,2000.0,2000.0,2249900.0,601964.7092206138,6,11
81,81,2105,2000.0,2000.0,2249900.0,600939.190876921,6,11
82,82,2106,2000.0,2000.0,2249900.0,597036.6090067201,6,11
83,83,2107,2000.0,2000.0,2249900.0,599070.9890203745,6,11
84,84,2108,2000.0,2000.0,2249900.0,598355.2887680863,6,11
85,85,2109,2000.0,2000.0,2249900.0,599125.8579389827,6,11
86,86,2110,2000.0,2000.0,2249900.0,597540.6107503928,6,11
87,87,2111,2000.0,2000.0,2249900.0,601057.5944386476,6,11
88,88,2112,2000.0,2000.0,2249900.0,597144.4802562478,6,11
89,89,2113,2000.0,2000.0,2249900.0,602117.2386354625,6,11
90,90,2114,2000.0,2000.0,2249900.0,595573.8577667895,6,11
91,91,2115,2000.0,2000.0,2249900.0,600112.6510022776,6,11
92,92,2116,2000.0,2000.0,2249900.0,600854.9376499231,6,11
93,93,2117,2000.0,2000.0,2249900.0,597116.1159618454,6,11
94,94,2118,2000.0,2000.0,2249900.0,598820.0147425131,6,11
95,95,2119,2000.0,2000.0,2249900.0,599771.0624921081,6,11
96,96,2120,2000.0,2000.0,2249900.0,597049.887152513,6,11
97,97,2121,2000.0,2000.0,2249900.0,599701.7569626013,6,11
98,98,2122,2000.0,2000.0,2249900.0,598912.3383087962,6,11
99,99,2123,2000.0,2000.0,2249900.0,598977.3707481832,6,11
100,100,2124,2000.0,2000.0,2249900.0,597449.2078668694,6,11
