Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Num_Owned_Sites
10,site_UTTAR_PRADESH_001,10,2034,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,88528.25846808299,1525.71,1.0,,,,,,,,,,,20206833.454910904,,,0
10,site_MAHARASHTRA_008,10,2034,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27261984.827638634,,,0
10,site_UTTAR_PRADESH_022,10,2034,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,58871.74153191702,1525.71,0.65,,,,,,,,,,,13437646.881587505,,,0
10,site_TELANGANA_356,10,2034,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,,1525.71,0.5698,,,,,,,,,,,-75000000.0,,,0
11,site_UTTAR_PRADESH_001,11,2035,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,71710.56744427403,1525.71,1.0,,,,,,,,,,,10704046.674256563,,,0
11,site_MAHARASHTRA_008,11,2035,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27209679.443383146,,,0
11,site_UTTAR_PRADESH_022,11,2035,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,46776.43715779748,1525.71,0.65,,,,,,,,,,,6982195.015840337,,,0
11,site_TELANGANA_356,11,2035,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,40212.99539792852,1525.71,0.5698,,,,,,,,,,,6002487.429563083,,,0
12,site_UTTAR_PRADESH_001,12,2036,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,77999.37145539119,1525.71,1.0,,,,,,,,,,,14163893.643585488,,,0
12,site_MAHARASHTRA_008,12,2036,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27999455.460544463,,,0
12,site_UTTAR_PRADESH_022,12,2036,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,50669.81663870574,1525.71,0.65,,,,,,,,,,,9201124.065737605,,,0
12,site_TELANGANA_356,12,2036,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,44230.811905903065,1525.71,0.5698,,,,,,,,,,,8031866.205010861,,,0
12,site_KARNATAKA_711,12,2036,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,,1540.71,0.56666667,,,,,,,,,,,,,,0
13,site_UTTAR_PRADESH_001,13,2037,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,85541.02211623488,1525.71,1.0,,,,,,,,,,,18161446.513854817,,,0
13,site_MAHARASHTRA_008,13,2037,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27704083.2654771,,,0
13,site_UTTAR_PRADESH_022,13,2037,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,54640.816004178494,1525.71,0.65,,,,,,,,,,,11600939.909098059,,,0
13,site_TELANGANA_356,13,2037,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,48618.161879586645,1525.71,0.5698,,,,,,,,,,,10322253.869941391,,,0
13,site_KARNATAKA_711,13,2037,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,,1540.71,0.56666667,,,,,,,,,,,-75000000.0,,,0
14,site_UTTAR_PRADESH_001,14,2038,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,92293.3693514171,1525.71,1.0,,,,,,,,,,,22290361.442402124,,,0
14,site_MAHARASHTRA_008,14,2038,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27945731.04369424,,,0
14,site_UTTAR_PRADESH_022,14,2038,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,60354.5505185,1525.71,0.65,,,,,,,,,,,14576613.197732672,,,0
14,site_TELANGANA_356,14,2038,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,53552.0801300829,1525.71,0.5698,,,,,,,,,,,12933705.102334097,,,0
14,site_KARNATAKA_711,14,2038,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,,1540.71,0.56666667,,,,,,,,,,,-75000000.0,,,0
15,site_UTTAR_PRADESH_001,15,2039,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,95136.50173111937,1525.71,1.0,,,,,,,,,,,28065268.0106802,,,0
15,site_MAHARASHTRA_008,15,2039,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,12069.420362685341,1570.71,1.0,,,,,,,,,,,-20963670.220381323,,,0
15,site_UTTAR_PRADESH_022,15,2039,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,63231.622199423364,1525.71,0.65,,,,,,,,,,,18653328.548829883,,,0
15,site_TELANGANA_356,15,2039,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54662.45570677192,1525.71,0.5698,,,,,,,,,,,16125424.433497712,,,0
15,site_KARNATAKA_711,15,2039,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,,1540.71,0.56666667,,,,,,,,,,,-75000000.0,,,0
16,site_UTTAR_PRADESH_001,16,2040,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,96244.54290667856,1525.71,1.0,,,,,,,,,,,25504803.87026982,,,0
16,site_MAHARASHTRA_008,16,2040,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27217754.965532735,,,0
16,site_UTTAR_PRADESH_022,16,2040,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62470.23114855429,1525.71,0.65,,,,,,,,,,,16554611.25436689,,,0
16,site_TELANGANA_356,16,2040,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54733.83179747306,1525.71,0.5698,,,,,,,,,,,14504465.426330358,,,0
16,site_KARNATAKA_711,16,2040,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,32151.39414729411,1540.71,0.56666667,,,,,,,,,,,1695952.289485298,,,0
17,site_UTTAR_PRADESH_001,17,2041,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97851.07274604187,1525.71,1.0,,,,,,,,,,,25930534.27770108,,,0
17,site_MAHARASHTRA_008,17,2041,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,0.0,1570.71,1.0,,,,,,,,,,,-27333465.357730553,,,0
17,site_UTTAR_PRADESH_022,17,2041,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,61862.83807204064,1525.71,0.65,,,,,,,,,,,16393652.089090765,,,0
17,site_TELANGANA_356,17,2041,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54290.909191138344,1525.71,0.5698,,,,,,,,,,,14387090.935651675,,,0
17,site_KARNATAKA_711,17,2041,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,53495.17999077914,1540.71,0.56666667,,,,,,,,,,,12872613.098959967,,,0
17,site_WEST_BENGAL_1162,17,2041,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,,1540.71,0.5497,,,,,,,,,,,,,,0
18,site_UTTAR_PRADESH_001,18,2042,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97714.55092717647,1525.71,1.0,,,,,,,,,,,28825792.523517057,,,0
18,site_MAHARASHTRA_008,18,2042,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,19525.718938348524,1570.71,1.0,,,,,,,,,,,-17289532.07883217,,,0
18,site_UTTAR_PRADESH_022,18,2042,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62483.86701771153,1525.71,0.65,,,,,,,,,,,18432740.7702249,,,0
18,site_TELANGANA_356,18,2042,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,55265.31935569811,1525.71,0.5698,,,,,,,,,,,16303269.209930941,,,0
18,site_KARNATAKA_711,18,2042,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,55310.543761065324,1540.71,0.56666667,,,,,,,,,,,15486952.25309828,,,0
18,site_WEST_BENGAL_1162,18,2042,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,,1540.71,0.5497,,,,,,,,,,,-75000000.0,,,0
18,site_PUNJAB_1262,18,2042,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,,1495.71,0.4787,,,,,,,,,,,,,,0
19,site_UTTAR_PRADESH_001,19,2043,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,95904.71012115153,1525.71,1.0,,,,,,,,,,,28291889.485739708,,,0
19,site_MAHARASHTRA_008,19,2043,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,47686.40441046166,1570.71,1.0,,,,,,,,,,,-2241121.441094041,,,0
19,site_UTTAR_PRADESH_022,19,2043,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62426.6368290932,1525.71,0.65,,,,,,,,,,,18415857.864582494,,,0
19,site_TELANGANA_356,19,2043,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54340.54546926973,1525.71,0.5698,,,,,,,,,,,16030460.91343458,,,0
19,site_KARNATAKA_711,19,2043,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,54441.70317002388,1540.71,0.56666667,,,,,,,,,,,15243676.88760668,,,0
19,site_WEST_BENGAL_1162,19,2043,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,,1540.71,0.5497,,,,,,,,,,,-75000000.0,,,0
19,site_PUNJAB_1262,19,2043,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,,1495.71,0.4787,,,,,,,,,,,-75000000.0,,,0
20,site_UTTAR_PRADESH_001,20,2044,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97349.17335658828,1525.71,1.0,,,,,,,,,,,28718006.14019355,,,0
20,site_MAHARASHTRA_008,20,2044,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,71501.97845513985,1570.71,1.0,,,,,,,,,,,10488739.554283187,,,0
20,site_UTTAR_PRADESH_022,20,2044,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,63651.00886908012,1525.71,0.65,,,,,,,,,,,18777047.616378635,,,0
20,site_TELANGANA_356,20,2044,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54309.5133095852,1525.71,0.5698,,,,,,,,,,,16021306.42632763,,,0
20,site_KARNATAKA_711,20,2044,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,54388.32600960654,1540.71,0.56666667,,,,,,,,,,,15228731.28268984,,,0
20,site_WEST_BENGAL_1162,20,2044,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,,1540.71,0.5497,,,,,,,,,,,-75000000.0,,,0
20,site_PUNJAB_1262,20,2044,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,,1495.71,0.4787,,,,,,,,,,,-75000000.0,,,0
21,site_UTTAR_PRADESH_001,21,2045,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97350.24907769001,1525.71,1.0,,,,,,,,,,,28718323.47791855,,,0
21,site_MAHARASHTRA_008,21,2045,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,46002.562087815546,1570.71,1.0,,,,,,,,,,,-3151356.6427995414,,,0
21,site_UTTAR_PRADESH_022,21,2045,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62515.775965578236,1525.71,0.65,,,,,,,,,,,18442153.909845576,,,0
21,site_TELANGANA_356,21,2045,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54266.75974486594,1525.71,0.5698,,,,,,,,,,,16008694.12473546,,,0
21,site_KARNATAKA_711,21,2045,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,55507.10299268753,1540.71,0.56666667,,,,,,,,,,,15541988.83795251,,,0
21,site_WEST_BENGAL_1162,21,2045,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,53757.55013136275,1540.71,0.5497,,,,,,,,,,,15052114.036781564,,,0
21,site_PUNJAB_1262,21,2045,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,,1495.71,0.4787,,,,,,,,,,,-75000000.0,,,0
22,site_UTTAR_PRADESH_001,22,2046,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97518.59476416,1525.71,1.0,,,,,,,,,,,28767985.4554272,,,0
22,site_MAHARASHTRA_008,22,2046,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,29325.168920412427,1570.71,1.0,,,,,,,,,,,-11850147.142100766,,,0
22,site_UTTAR_PRADESH_022,22,2046,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62100.521812127976,1525.71,0.65,,,,,,,,,,,18319653.934577763,,,0
22,site_TELANGANA_356,22,2046,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54456.16478140663,1525.71,0.5698,,,,,,,,,,,16064568.610514954,,,0
22,site_KARNATAKA_711,22,2046,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,55523.013847033486,1540.71,0.56666667,,,,,,,,,,,15546443.877169386,,,0
22,site_WEST_BENGAL_1162,22,2046,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,53757.743588968886,1540.71,0.5497,,,,,,,,,,,15052168.204911292,,,0
22,site_PUNJAB_1262,22,2046,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,46818.79228589059,1495.71,0.4787,,,,,,,,,,,15216107.492914446,,,0
23,site_UTTAR_PRADESH_001,23,2047,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97826.80029883941,1525.71,1.0,,,,,,,,,,,28858906.088157624,,,0
23,site_MAHARASHTRA_008,23,2047,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,62095.299707399274,1570.71,1.0,,,,,,,,,,,5780266.216729224,,,0
23,site_UTTAR_PRADESH_022,23,2047,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62294.56627858661,1525.71,0.65,,,,,,,,,,,18376897.05218306,,,0
23,site_TELANGANA_356,23,2047,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,55357.67343347143,1525.71,0.5698,,,,,,,,,,,16330513.662874073,,,0
23,site_KARNATAKA_711,23,2047,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,54931.633355343685,1540.71,0.56666667,,,,,,,,,,,15380857.33949624,,,0
23,site_WEST_BENGAL_1162,23,2047,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,52323.34398842087,1540.71,0.5497,,,,,,,,,,,14650536.316757843,,,0
23,site_PUNJAB_1262,23,2047,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,46370.6829379387,1495.71,0.4787,,,,,,,,,,,15070471.954830073,,,0
24,site_UTTAR_PRADESH_001,24,2048,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,96606.18705245295,1525.71,1.0,,,,,,,,,,,28498825.18047361,,,0
24,site_MAHARASHTRA_008,24,2048,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,96483.63885988743,1570.71,1.0,,,,,,,,,,,23719753.980376974,,,0
24,site_UTTAR_PRADESH_022,24,2048,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,62553.65986534403,1525.71,0.65,,,,,,,,,,,18453329.660276502,,,0
